roi_name,Amygdala,Hippocampus,Insula,dACC,vmPFC
Amygdala,0.0,0.3614,-0.0491,0.0618,-0.0165
Hippocampus,0.3614,0.0,0.0828,0.0324,0.2965
Insula,-0.0491,0.0828,0.0,0.3721,0.0337
dACC,0.0618,0.0324,0.3721,0.0,0.0964
vmPFC,-0.0165,0.2965,0.0337,0.0964,0.0
