source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
27,15,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,2.0,Global on,Threat-like,2.0,38.0,0.05263157894736842,2.0,0.08333333333333333,CS+,CS+,4.0,2.0,Global on,Threat-like,-2.0,-0.05263157894736842,-2.0,-0.08333333333333333,0.05263157894736842
30,16,4.0,4.0,Global on,Global on,3.0,57.0,0.05263157894736842,3.0,0.125,ITI,CS+,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,4.0,Global on,Global on,3.0,0.05263157894736842,3.0,0.125,0.05263157894736842
21,20,1.0,3.0,Global off,Safety-like,5.0,40.0,0.125,4.0,0.16666666666666666,ITI,ITI,1.0,3.0,Global off,Safety-like,4.0,55.0,0.07272727272727272,3.0,0.125,ITI,ITI,1.0,3.0,Global off,Safety-like,1.0,0.052272727272727276,1.0,0.04166666666666666,0.052272727272727276
16,12,4.0,3.0,Global on,Safety-like,1.0,111.0,0.009009009009009009,1.0,0.041666666666666664,CS+,ITI,4.0,3.0,Global on,Safety-like,6.0,99.0,0.06060606060606061,4.0,0.16666666666666666,CS-,ITI,4.0,3.0,Global on,Safety-like,-5.0,-0.0515970515970516,-3.0,-0.125,0.0515970515970516
27,25,4.0,1.0,Global on,Global off,2.0,39.0,0.05128205128205128,2.0,0.08333333333333333,CS-,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,2.0,0.05128205128205128,2.0,0.08333333333333333,0.05128205128205128
9,6,1.0,1.0,Global off,Global off,4.0,78.0,0.05128205128205128,4.0,0.16666666666666666,ITI,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,4.0,0.05128205128205128,4.0,0.16666666666666666,0.05128205128205128
15,32,2.0,4.0,Threat-like,Global on,3.0,50.0,0.06,3.0,0.125,CS+,ITI,2.0,4.0,Threat-like,Global on,7.0,63.0,0.1111111111111111,7.0,0.2916666666666667,ITI,ITI,2.0,4.0,Threat-like,Global on,-4.0,-0.05111111111111111,-4.0,-0.16666666666666669,0.05111111111111111
12,20,3.0,3.0,Safety-like,Safety-like,1.0,40.0,0.025,1.0,0.041666666666666664,ITI,ITI,3.0,3.0,Safety-like,Safety-like,5.0,66.0,0.07575757575757576,4.0,0.16666666666666666,CS-,ITI,3.0,3.0,Safety-like,Safety-like,-4.0,-0.05075757575757576,-3.0,-0.125,0.05075757575757576
32,29,4.0,2.0,Global on,Threat-like,16.0,208.0,0.07692307692307693,11.0,0.4583333333333333,ITI,ITI,4.0,2.0,Global on,Threat-like,5.0,191.0,0.02617801047120419,5.0,0.20833333333333334,ITI,CS-,4.0,2.0,Global on,Threat-like,11.0,0.05074506645187274,6.0,0.24999999999999997,0.05074506645187274
27,18,4.0,3.0,Global on,Safety-like,3.0,39.0,0.07692307692307693,3.0,0.125,ITI,ITI,4.0,3.0,Global on,Safety-like,1.0,38.0,0.02631578947368421,1.0,0.041666666666666664,ITI,ITI,4.0,3.0,Global on,Safety-like,2.0,0.05060728744939272,2.0,0.08333333333333334,0.05060728744939272
13,29,2.0,2.0,Threat-like,Threat-like,12.0,128.0,0.09375,8.0,0.3333333333333333,ITI,ITI,2.0,2.0,Threat-like,Threat-like,6.0,139.0,0.04316546762589928,5.0,0.20833333333333334,CS+,ITI,2.0,2.0,Threat-like,Threat-like,6.0,0.05058453237410072,3.0,0.12499999999999997,0.05058453237410072
6,16,1.0,4.0,Global off,Global on,4.0,43.0,0.09302325581395349,2.0,0.08333333333333333,CS+,CS+,1.0,4.0,Global off,Global on,2.0,47.0,0.0425531914893617,2.0,0.08333333333333333,ITI,CS-,1.0,4.0,Global off,Global on,2.0,0.050470064324591786,0.0,0.0,0.050470064324591786
6,7,1.0,1.0,Global off,Global off,4.0,43.0,0.09302325581395349,4.0,0.16666666666666666,ITI,ITI,1.0,1.0,Global off,Global off,2.0,47.0,0.0425531914893617,2.0,0.08333333333333333,CS+,ITI,1.0,1.0,Global off,Global off,2.0,0.050470064324591786,2.0,0.08333333333333333,0.050470064324591786
21,22,1.0,4.0,Global off,Global on,2.0,40.0,0.05,1.0,0.041666666666666664,CS+,CS+,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,Global off,Global on,2.0,0.05,1.0,0.041666666666666664,0.05
