group,subject,session,task,row_index_0,kept_row,state,basin,sn_file,bn_file
HC,FC001,2,renewal,31,32,11,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,32,33,18,3,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,33,34,30,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,34,35,15,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,35,36,13,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,36,37,20,3,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,37,38,27,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,38,39,27,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,39,40,29,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,40,41,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,41,42,30,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,42,43,23,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,43,44,10,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,44,45,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,45,46,15,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,46,47,13,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,47,48,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,48,49,20,3,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,49,50,23,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,50,51,13,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,51,52,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,52,53,1,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,53,54,1,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,54,55,15,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,55,56,1,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,56,57,18,3,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,57,58,1,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,58,59,31,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,59,60,28,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,60,61,28,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,61,62,27,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,62,63,20,3,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,63,64,18,3,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,64,65,28,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,65,66,15,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,66,67,13,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,67,68,14,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,68,69,13,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,69,70,15,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,70,71,16,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,71,72,11,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,72,73,23,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,73,74,16,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,74,75,18,3,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,75,76,31,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,76,77,32,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,77,78,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,78,79,21,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,79,80,5,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,80,81,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,81,82,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,82,83,15,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,83,84,13,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,84,85,20,3,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,85,86,9,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,86,87,22,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,87,88,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,88,89,28,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
