source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
20,30,3.0,4.0,Safety-like,Global on,5.0,84.0,0.05952380952380952,4.0,0.17391304347826086,ITI,CS+,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,4.0,Safety-like,Global on,5.0,0.05952380952380952,4.0,0.17391304347826086,0.05952380952380952
13,15,2.0,2.0,Threat-like,Threat-like,1.0,82.0,0.012195121951219513,1.0,0.043478260869565216,ITI,CS+,2.0,2.0,Threat-like,Threat-like,7.0,99.0,0.0707070707070707,5.0,0.20833333333333334,ITI,ITI,2.0,2.0,Threat-like,Threat-like,-6.0,-0.058511948755851195,-4.0,-0.16485507246376813,0.058511948755851195
14,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,3.0,Threat-like,Safety-like,3.0,52.0,0.057692307692307696,3.0,0.125,ITI,ITI,2.0,3.0,Threat-like,Safety-like,-3.0,-0.057692307692307696,-3.0,-0.125,0.057692307692307696
10,17,1.0,1.0,Global off,Global off,3.0,35.0,0.08571428571428572,3.0,0.13043478260869565,CS+,ITI,1.0,1.0,Global off,Global off,1.0,35.0,0.02857142857142857,1.0,0.041666666666666664,CS-,ITI,1.0,1.0,Global off,Global off,2.0,0.05714285714285715,2.0,0.08876811594202899,0.05714285714285715
10,19,1.0,3.0,Global off,Safety-like,2.0,35.0,0.05714285714285714,2.0,0.08695652173913043,CS+,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,3.0,Global off,Safety-like,2.0,0.05714285714285714,2.0,0.08695652173913043,0.05714285714285714
10,2,1.0,1.0,Global off,Global off,2.0,35.0,0.05714285714285714,2.0,0.08695652173913043,CS-,ITI,1.0,1.0,Global off,Global off,4.0,35.0,0.11428571428571428,4.0,0.16666666666666666,ITI,CS+,1.0,1.0,Global off,Global off,-2.0,-0.05714285714285714,-2.0,-0.07971014492753623,0.05714285714285714
10,13,1.0,2.0,Global off,Threat-like,5.0,35.0,0.14285714285714285,4.0,0.17391304347826086,CS+,CS+,1.0,2.0,Global off,Threat-like,3.0,35.0,0.08571428571428572,3.0,0.125,CS-,CS+,1.0,2.0,Global off,Threat-like,2.0,0.057142857142857134,1.0,0.048913043478260865,0.057142857142857134
25,28,1.0,4.0,Global off,Global on,3.0,36.0,0.08333333333333333,3.0,0.13043478260869565,CS+,CS-,1.0,4.0,Global off,Global on,1.0,38.0,0.02631578947368421,1.0,0.041666666666666664,ITI,CS+,1.0,4.0,Global off,Global on,2.0,0.05701754385964912,2.0,0.08876811594202899,0.05701754385964912
28,25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,3.0,53.0,0.05660377358490566,3.0,0.125,ITI,CS+,4.0,1.0,Global on,Global off,-3.0,-0.05660377358490566,-3.0,-0.125,0.05660377358490566
30,13,4.0,2.0,Global on,Threat-like,4.0,38.0,0.10526315789473684,4.0,0.17391304347826086,CS+,CS+,4.0,2.0,Global on,Threat-like,2.0,41.0,0.04878048780487805,2.0,0.08333333333333333,CS+,CS+,4.0,2.0,Global on,Threat-like,2.0,0.056482670089858786,2.0,0.09057971014492754,0.056482670089858786
23,32,4.0,4.0,Global on,Global on,5.0,32.0,0.15625,5.0,0.21739130434782608,ITI,CS-,4.0,4.0,Global on,Global on,3.0,30.0,0.1,3.0,0.125,CS+,ITI,4.0,4.0,Global on,Global on,2.0,0.056249999999999994,2.0,0.09239130434782608,0.056249999999999994
