cohort,state,occupancy,occupancy_prop,count_CSplus,count_CSminus,count_ITI,count_NONE,prop_CSplus,prop_CSminus,prop_ITI,cs_delta,dominant_event,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,global_prop_CSplus,global_prop_CSminus,global_prop_ITI,basin,basin_label_readable,local_minimum_state,is_local_minimum,hamming_to_min,energy,binary,binary_01,sigma_pattern
merged,1,338,0.09383675735702388,68,65,205,0,0.20118343195266272,0.19230769230769232,0.606508875739645,0.008875739644970404,ITI,ITI,0.025165177794059135,-0.005368483649780376,-0.019796694144278815,0.025165177794059135,0.2065519156024431,0.21210438645197113,0.5813436979455858,1,Global off,1,True,0,-1.216,0,0,-----
merged,32,301,0.083564686285397,69,71,161,0,0.2292358803986711,0.23588039867109634,0.5348837209302325,-0.006644518272425237,ITI,CS-,0.023776012219125203,0.022683964796228,0.023776012219125203,-0.046459977015353315,0.2065519156024431,0.21210438645197113,0.5813436979455858,4,Global on,32,True,0,-1.1908,11111,11111,+++++
merged,20,232,0.06440866185452526,20,51,161,0,0.08620689655172414,0.21982758620689655,0.6939655172413793,-0.1336206896551724,ITI,ITI,0.11262181929579351,-0.12034501905071895,0.007723199754925414,0.11262181929579351,0.2065519156024431,0.21210438645197113,0.5813436979455858,3,Safety-like,20,True,0,-0.824,11001,11001,++--+
merged,13,224,0.06218767351471405,73,46,105,0,0.32589285714285715,0.20535714285714285,0.46875,0.1205357142857143,ITI,CS+,0.11934094154041405,0.11934094154041405,-0.006747243594828284,-0.11259369794558582,0.2065519156024431,0.21210438645197113,0.5813436979455858,2,Threat-like,13,True,0,-0.8292,110,110,--++-
merged,16,161,0.044697390338700724,55,39,67,0,0.3416149068322981,0.2422360248447205,0.4161490683229814,0.0993788819875776,ITI,CS+,0.13506299122985502,0.13506299122985502,0.030131638392749377,-0.16519462962260445,0.2065519156024431,0.21210438645197113,0.5813436979455858,4,Global on,32,False,1,-0.4767999999999999,11110,11110,++++-
merged,29,156,0.043309272626318715,23,33,100,0,0.14743589743589744,0.21153846153846154,0.6410256410256411,-0.0641025641025641,ITI,ITI,0.059681943080055255,-0.05911601816654566,-0.0005659249135095967,0.059681943080055255,0.2065519156024431,0.21210438645197113,0.5813436979455858,2,Threat-like,13,False,1,-0.4795999999999999,111,111,--+++
merged,2,153,0.0424764019988895,32,37,84,0,0.20915032679738563,0.24183006535947713,0.5490196078431373,-0.0326797385620915,ITI,CS-,0.029725678907505992,0.0025984111949425293,0.029725678907505992,-0.03232409010244852,0.2065519156024431,0.21210438645197113,0.5813436979455858,1,Global off,1,False,1,-0.5336000000000001,10000,10000,+----
merged,17,147,0.04081066074403109,18,26,103,0,0.12244897959183673,0.17687074829931973,0.7006802721088435,-0.054421768707483,ITI,ITI,0.11933657416325771,-0.08410293601060637,-0.0352336381526514,0.11933657416325771,0.2065519156024431,0.21210438645197113,0.5813436979455858,1,Global off,1,False,1,-0.4907999999999999,1,1,----+
merged,4,142,0.039422543031649084,24,30,88,0,0.16901408450704225,0.2112676056338028,0.6197183098591549,-0.04225352112676056,ITI,ITI,0.03837461191356906,-0.03753783109540085,-0.0008367808181683201,0.03837461191356906,0.2065519156024431,0.21210438645197113,0.5813436979455858,3,Safety-like,20,False,1,-0.4855999999999999,11000,11000,++---
merged,31,135,0.03747917823431427,42,29,64,0,0.3111111111111111,0.21481481481481482,0.4740740740740741,0.0962962962962963,ITI,CS+,0.10455919550866802,0.10455919550866802,0.0027104283628436865,-0.10726962387151173,0.2065519156024431,0.21210438645197113,0.5813436979455858,4,Global on,32,False,1,-0.5204,1111,1111,-++++
