roi_name,Amygdala,Hippocampus,Insula,dACC,vmPFC
Amygdala,0.0,0.3378,-0.0229,0.0831,-0.0217
Hippocampus,0.3378,0.0,0.1066,0.0399,0.2614
Insula,-0.0229,0.1066,0.0,0.4309,0.069
dACC,0.0831,0.0399,0.4309,0.0,0.0759
vmPFC,-0.0217,0.2614,0.069,0.0759,0.0
