cohort,state,occupancy,occupancy_prop,count_CSplus,count_CSminus,count_ITI,count_NONE,prop_CSplus,prop_CSminus,prop_ITI,cs_delta,dominant_event,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,global_prop_CSplus,global_prop_CSminus,global_prop_ITI,basin,basin_label_readable,local_minimum_state,is_local_minimum,hamming_to_min,energy,binary,binary_01,sigma_pattern
merged,1,531,0.09753857457751654,89,100,342,0,0.16760828625235405,0.18832391713747645,0.6440677966101694,-0.020715630885122405,ITI,ITI,0.05865266068070585,-0.037388039978358656,-0.021264620702347192,0.05865266068070585,0.2049963262307127,0.20958853783982365,0.5854151359294636,1,Global off,1,True,0,-1.2795,0,0,-----
merged,32,521,0.09570168993387215,121,132,268,0,0.23224568138195778,0.2533589251439539,0.5143953934740882,-0.021113243761996137,ITI,CS-,0.04377038730413027,0.027249355151245075,0.04377038730413027,-0.07101974245537535,0.2049963262307127,0.20958853783982365,0.5854151359294636,4,Global on,32,True,0,-1.2635,11111,11111,+++++
merged,20,321,0.05896399706098457,48,44,229,0,0.14953271028037382,0.13707165109034267,0.7133956386292835,0.012461059190031154,ITI,ITI,0.12798050269981986,-0.055463615950338885,-0.07251688674948098,0.12798050269981986,0.2049963262307127,0.20958853783982365,0.5854151359294636,3,Safety-like,20,True,0,-0.7541,11001,11001,++--+
merged,13,295,0.054188096987509184,73,63,159,0,0.24745762711864408,0.2135593220338983,0.5389830508474577,0.03389830508474578,ITI,CS+,0.042461300887931375,0.042461300887931375,0.00397078419407465,-0.046432085082005914,0.2049963262307127,0.20958853783982365,0.5854151359294636,2,Threat-like,13,True,0,-0.7568999999999999,110,110,--++-
merged,2,268,0.04922850844966936,49,61,158,0,0.1828358208955224,0.22761194029850745,0.5895522388059702,-0.044776119402985065,ITI,CS-,0.018023402458683807,-0.022160505335190317,0.018023402458683807,0.004137102876506593,0.2049963262307127,0.20958853783982365,0.5854151359294636,1,Global off,1,False,1,-0.5604999999999999,10000,10000,+----
merged,31,243,0.04463629684055841,55,58,130,0,0.22633744855967078,0.23868312757201646,0.5349794238683128,-0.012345679012345678,ITI,CS-,0.02909458973219281,0.021341122328958073,0.02909458973219281,-0.05043571206115083,0.2049963262307127,0.20958853783982365,0.5854151359294636,4,Global on,32,False,1,-0.5520999999999999,1111,1111,-++++
merged,4,232,0.0426157237325496,61,43,128,0,0.2629310344827586,0.1853448275862069,0.5517241379310345,0.07758620689655171,ITI,CS+,0.05793470825204591,0.05793470825204591,-0.02424371025361674,-0.03369099799842912,0.2049963262307127,0.20958853783982365,0.5854151359294636,3,Safety-like,20,False,1,-0.4577,11000,11000,++---
merged,17,218,0.040044085231447465,31,29,158,0,0.14220183486238533,0.13302752293577982,0.7247706422018348,0.009174311926605505,ITI,ITI,0.13935550627237125,-0.06279449136832738,-0.07656101490404382,0.13935550627237125,0.2049963262307127,0.20958853783982365,0.5854151359294636,1,Global off,1,False,1,-0.4559000000000001,1,1,----+
merged,29,207,0.03802351212343865,40,37,130,0,0.1932367149758454,0.178743961352657,0.6280193236714976,0.014492753623188415,ITI,ITI,0.042604187742034005,-0.011759611254867297,-0.030844576487166653,0.042604187742034005,0.2049963262307127,0.20958853783982365,0.5854151359294636,2,Threat-like,13,False,1,-0.4537,111,111,--+++
merged,5,202,0.03710506980161646,41,45,116,0,0.20297029702970298,0.22277227722772278,0.5742574257425742,-0.019801980198019792,ITI,CS-,0.01318373938789913,-0.0020260292010097214,0.01318373938789913,-0.01115771018688938,0.2049963262307127,0.20958853783982365,0.5854151359294636,1,Global off,1,False,1,-0.3969,100,100,--+--
merged,28,196,0.03600293901542983,42,42,112,0,0.21428571428571427,0.21428571428571427,0.5714285714285714,0.0,ITI,CS+,0.009289388055001568,0.009289388055001568,0.004697176445890627,-0.013986564500892196,0.2049963262307127,0.20958853783982365,0.5854151359294636,4,Global on,32,False,1,-0.3880999999999999,11011,11011,++-++
merged,16,194,0.035635562086700955,56,58,80,0,0.28865979381443296,0.29896907216494845,0.41237113402061853,-0.010309278350515483,ITI,CS-,0.0893805343251248,0.08366346758372026,0.0893805343251248,-0.17304400190884506,0.2049963262307127,0.20958853783982365,0.5854151359294636,4,Global on,32,False,1,-0.4467000000000001,11110,11110,++++-
merged,9,169,0.031043350477590007,31,34,104,0,0.1834319526627219,0.20118343195266272,0.6153846153846154,-0.017751479289940836,ITI,ITI,0.029969479455151826,-0.02156437356799082,-0.008405105887160924,0.029969479455151826,0.2049963262307127,0.20958853783982365,0.5854151359294636,1,Global off,1,False,1,-0.1511,10,10,---+-
merged,14,154,0.02828802351212344,36,49,69,0,0.23376623376623376,0.3181818181818182,0.44805194805194803,-0.08441558441558442,ITI,CS-,0.10859328034199453,0.028769907535521055,0.10859328034199453,-0.13736318787751556,0.2049963262307127,0.20958853783982365,0.5854151359294636,2,Threat-like,13,False,1,-0.0887,10110,10110,+-++-
merged,19,151,0.027736958119030125,21,16,114,0,0.1390728476821192,0.10596026490066225,0.7549668874172185,0.03311258278145694,ITI,ITI,0.16955175148775492,-0.06592347854859351,-0.1036282729391614,0.16955175148775492,0.2049963262307127,0.20958853783982365,0.5854151359294636,3,Safety-like,20,False,1,-0.0935,1001,1001,-+--+
merged,24,148,0.02718589272593681,29,28,91,0,0.19594594594594594,0.1891891891891892,0.6148648648648649,0.006756756756756743,ITI,ITI,0.02944972893540132,-0.009050380284766762,-0.020399348650634447,0.02944972893540132,0.2049963262307127,0.20958853783982365,0.5854151359294636,4,Global on,32,False,1,-0.1411,11101,11101,+++-+
merged,21,125,0.02296105804555474,18,28,79,0,0.144,0.224,0.632,-0.08000000000000002,ITI,ITI,0.046584864070536414,-0.060996326230712716,0.014411462160176358,0.046584864070536414,0.2049963262307127,0.20958853783982365,0.5854151359294636,1,Global off,1,False,2,0.2918999999999999,101,101,--+-+
merged,10,114,0.02094048493754592,19,29,66,0,0.16666666666666666,0.2543859649122807,0.5789473684210527,-0.08771929824561406,ITI,CS-,0.04479742707245707,-0.03832965956404605,0.04479742707245707,-0.006467767508410938,0.2049963262307127,0.20958853783982365,0.5854151359294636,1,Global off,1,False,2,0.3207,10010,10010,+--+-
merged,8,108,0.019838354151359296,27,29,52,0,0.25,0.26851851851851855,0.48148148148148145,-0.018518518518518545,ITI,CS-,0.0589299806786949,0.045003673769287295,0.0589299806786949,-0.10393365444798214,0.2049963262307127,0.20958853783982365,0.5854151359294636,3,Safety-like,20,False,2,0.2900999999999999,11100,11100,+++--
merged,18,107,0.019654665686994855,23,17,67,0,0.21495327102803738,0.1588785046728972,0.6261682242990654,0.05607476635514019,ITI,ITI,0.040753088369601786,0.009956944797324674,-0.05071003316692646,0.040753088369601786,0.2049963262307127,0.20958853783982365,0.5854151359294636,3,Safety-like,20,False,1,0.3291,10001,10001,+---+
merged,30,102,0.018736223365172666,27,21,54,0,0.2647058823529412,0.20588235294117646,0.5294117647058824,0.05882352941176472,ITI,CS+,0.059709556122228474,0.059709556122228474,-0.0037061848986471857,-0.05600337122358123,0.2049963262307127,0.20958853783982365,0.5854151359294636,4,Global on,32,False,1,0.2804999999999999,10111,10111,+-+++
merged,12,101,0.01855253490080823,32,25,44,0,0.31683168316831684,0.24752475247524752,0.43564356435643564,0.06930693069306931,ITI,CS+,0.11183535693760413,0.11183535693760413,0.037936214635423876,-0.14977157157302795,0.2049963262307127,0.20958853783982365,0.5854151359294636,3,Safety-like,20,False,2,0.2938999999999999,11010,11010,++-+-
merged,3,96,0.01763409257898604,17,19,60,0,0.17708333333333334,0.19791666666666666,0.625,-0.020833333333333315,ITI,ITI,0.03958486407053641,-0.027912992897379363,-0.011671871173156989,0.03958486407053641,0.2049963262307127,0.20958853783982365,0.5854151359294636,1,Global off,1,False,1,0.2688999999999999,1000,1000,-+---
merged,25,95,0.017450404114621603,11,16,68,0,0.11578947368421053,0.16842105263157894,0.7157894736842105,-0.05263157894736842,ITI,ITI,0.13037433775474694,-0.08920685254650218,-0.0411674852082447,0.13037433775474694,0.2049963262307127,0.20958853783982365,0.5854151359294636,1,Global off,1,False,2,0.2869,11,11,---++
merged,15,92,0.01689933872152829,23,24,45,0,0.25,0.2608695652173913,0.4891304347826087,-0.010869565217391297,ITI,CS-,0.05128102737756765,0.045003673769287295,0.05128102737756765,-0.09628470114685489,0.2049963262307127,0.20958853783982365,0.5854151359294636,2,Threat-like,13,False,1,0.3307000000000001,1110,1110,-+++-
merged,23,92,0.01689933872152829,22,15,55,0,0.2391304347826087,0.16304347826086957,0.5978260869565217,0.07608695652173914,ITI,CS+,0.034134108551896,0.034134108551896,-0.04654505957895408,0.012410951027058137,0.2049963262307127,0.20958853783982365,0.5854151359294636,4,Global on,32,False,2,0.3230999999999999,1101,1101,-++-+
merged,27,89,0.016348273328434974,16,15,58,0,0.1797752808988764,0.16853932584269662,0.651685393258427,0.011235955056179775,ITI,ITI,0.06627025732896341,-0.025221045331836306,-0.04104921199712702,0.06627025732896341,0.2049963262307127,0.20958853783982365,0.5854151359294636,4,Global on,32,False,2,0.5196999999999999,1011,1011,-+-++
merged,6,75,0.013776634827332844,13,16,46,0,0.17333333333333334,0.21333333333333335,0.6133333333333333,-0.04000000000000001,ITI,ITI,0.027918197403869693,-0.031662992897379366,0.0037447954935097005,0.027918197403869693,0.2049963262307127,0.20958853783982365,0.5854151359294636,1,Global off,1,False,2,0.5184999999999998,10100,10100,+-+--
merged,26,63,0.011572373254959589,11,9,43,0,0.1746031746031746,0.14285714285714285,0.6825396825396826,0.031746031746031744,ITI,ITI,0.09712454661021896,-0.030393151627538112,-0.0667313949826808,0.09712454661021896,0.2049963262307127,0.20958853783982365,0.5854151359294636,4,Global on,32,False,2,0.8246999999999999,10011,10011,+--++
merged,7,59,0.010837619397501837,17,21,21,0,0.288135593220339,0.3559322033898305,0.3559322033898305,-0.06779661016949151,CS-,CS-,0.14634366555000686,0.08313926698962629,0.14634366555000686,-0.2294829325396331,0.2049963262307127,0.20958853783982365,0.5854151359294636,1,Global off,1,False,2,0.8202999999999999,1100,1100,-++--
merged,11,40,0.0073475385745775165,15,11,14,0,0.375,0.275,0.35,0.09999999999999998,CS+,CS+,0.1700036737692873,0.1700036737692873,0.06541146216017638,-0.23541513592946361,0.2049963262307127,0.20958853783982365,0.5854151359294636,1,Global off,1,False,2,1.2677,1010,1010,-+-+-
merged,22,36,0.006612784717119765,2,7,27,0,0.05555555555555555,0.19444444444444445,0.75,-0.1388888888888889,ITI,ITI,0.1645848640705364,-0.14944077067515715,-0.015144093395379199,0.1645848640705364,0.2049963262307127,0.20958853783982365,0.5854151359294636,4,Global on,32,False,2,1.2733,10101,10101,+-+-+
HC,1,256,0.0912981455064194,44,40,172,0,0.171875,0.15625,0.671875,0.015625,ITI,ITI,0.08806615549215402,-0.03639889443651925,-0.051667261055634794,0.08806615549215402,0.20827389443651925,0.2079172610556348,0.583808844507846,1,Global off,1,True,0,-1.2795,0,0,-----
HC,32,248,0.0884450784593438,56,64,128,0,0.22580645161290322,0.25806451612903225,0.5161290322580645,-0.03225806451612903,ITI,CS-,0.050147255073397456,0.017532557176383967,0.050147255073397456,-0.06767981224978148,0.20827389443651925,0.2079172610556348,0.583808844507846,4,Global on,32,True,0,-1.2635,11111,11111,+++++
HC,13,149,0.053138373751783166,33,37,79,0,0.2214765100671141,0.2483221476510067,0.5302013422818792,-0.026845637583892606,ITI,CS-,0.04040488659537192,0.013202615630594855,0.04040488659537192,-0.053607502225966774,0.20827389443651925,0.2079172610556348,0.583808844507846,2,Threat-like,13,True,0,-0.7568999999999999,110,110,--++-
HC,20,148,0.052781740370898715,24,16,108,0,0.16216216216216217,0.10810810810810811,0.7297297297297297,0.05405405405405406,ITI,ITI,0.14592088522188373,-0.04611173227435708,-0.09980915294752668,0.14592088522188373,0.20827389443651925,0.2079172610556348,0.583808844507846,3,Safety-like,20,True,0,-0.7541,11001,11001,++--+
HC,2,140,0.04992867332382311,22,35,83,0,0.15714285714285714,0.25,0.5928571428571429,-0.09285714285714286,ITI,CS-,0.042082738944365206,-0.05113103729366211,0.042082738944365206,0.00904829834929688,0.20827389443651925,0.2079172610556348,0.583808844507846,1,Global off,1,False,1,-0.5604999999999999,10000,10000,+----
HC,31,127,0.04529243937232525,29,36,62,0,0.2283464566929134,0.28346456692913385,0.4881889763779528,-0.05511811023622046,ITI,CS-,0.07554730587349906,0.020072562256394144,0.07554730587349906,-0.0956198681298932,0.20827389443651925,0.2079172610556348,0.583808844507846,4,Global on,32,False,1,-0.5520999999999999,1111,1111,-++++
HC,17,124,0.0442225392296719,16,14,94,0,0.12903225806451613,0.11290322580645161,0.7580645161290323,0.016129032258064516,ITI,ITI,0.17425567162118627,-0.07924163637200313,-0.09501403524918318,0.17425567162118627,0.20827389443651925,0.2079172610556348,0.583808844507846,1,Global off,1,False,1,-0.4559000000000001,1,1,----+
