source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
17,3,1.0,1.0,Global off,Global off,4.0,234.0,0.017094017094017096,3.0,0.125,ITI,CS-,1.0,1.0,Global off,Global off,11.0,215.0,0.05116279069767442,9.0,0.375,ITI,CS+,1.0,1.0,Global off,Global off,-7.0,-0.03406877360365732,-6.0,-0.25,0.03406877360365732
17,16,1.0,4.0,Global off,Global on,4.0,234.0,0.017094017094017096,4.0,0.16666666666666666,CS+,CS+,1.0,4.0,Global off,Global on,11.0,215.0,0.05116279069767442,9.0,0.375,ITI,CS+,1.0,4.0,Global off,Global on,-7.0,-0.03406877360365732,-5.0,-0.20833333333333334,0.03406877360365732
8,14,4.0,2.0,Global on,Threat-like,2.0,93.0,0.021505376344086023,2.0,0.08333333333333333,ITI,ITI,4.0,2.0,Global on,Threat-like,5.0,90.0,0.05555555555555555,4.0,0.16666666666666666,ITI,CS+,4.0,2.0,Global on,Threat-like,-3.0,-0.03405017921146953,-2.0,-0.08333333333333333,0.03405017921146953
5,4,1.0,3.0,Global off,Safety-like,8.0,148.0,0.05405405405405406,7.0,0.2916666666666667,ITI,ITI,1.0,3.0,Global off,Safety-like,3.0,148.0,0.02027027027027027,2.0,0.08333333333333333,ITI,ITI,1.0,3.0,Global off,Safety-like,5.0,0.033783783783783786,5.0,0.20833333333333337,0.033783783783783786
5,32,1.0,4.0,Global off,Global on,18.0,148.0,0.12162162162162163,15.0,0.625,CS+,ITI,1.0,4.0,Global off,Global on,13.0,148.0,0.08783783783783784,11.0,0.4583333333333333,ITI,ITI,1.0,4.0,Global off,Global on,5.0,0.033783783783783786,4.0,0.16666666666666669,0.033783783783783786
5,31,1.0,4.0,Global off,Global on,5.0,148.0,0.033783783783783786,5.0,0.20833333333333334,CS-,CS-,1.0,4.0,Global off,Global on,10.0,148.0,0.06756756756756757,7.0,0.2916666666666667,CS+,ITI,1.0,4.0,Global off,Global on,-5.0,-0.033783783783783786,-2.0,-0.08333333333333334,0.033783783783783786
8,23,4.0,4.0,Global on,Global on,1.0,93.0,0.010752688172043012,1.0,0.041666666666666664,CS+,ITI,4.0,4.0,Global on,Global on,4.0,90.0,0.044444444444444446,3.0,0.125,ITI,CS-,4.0,4.0,Global on,Global on,-3.0,-0.03369175627240144,-2.0,-0.08333333333333334,0.03369175627240144
16,5,4.0,1.0,Global on,Global off,5.0,226.0,0.022123893805309734,4.0,0.16666666666666666,ITI,ITI,4.0,1.0,Global on,Global off,12.0,216.0,0.05555555555555555,11.0,0.4583333333333333,ITI,ITI,4.0,1.0,Global on,Global off,-7.0,-0.03343166175024582,-7.0,-0.29166666666666663,0.03343166175024582
8,21,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,3.0,90.0,0.03333333333333333,2.0,0.08333333333333333,ITI,ITI,4.0,1.0,Global on,Global off,-3.0,-0.03333333333333333,-2.0,-0.08333333333333333,0.03333333333333333
7,8,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,Global off,Global on,2.0,60.0,0.03333333333333333,2.0,0.08333333333333333,CS-,ITI,1.0,4.0,Global off,Global on,-2.0,-0.03333333333333333,-2.0,-0.08333333333333333,0.03333333333333333
23,2,4.0,1.0,Global on,Global off,2.0,82.0,0.024390243902439025,2.0,0.08333333333333333,CS-,CS-,4.0,1.0,Global on,Global off,6.0,104.0,0.057692307692307696,4.0,0.16666666666666666,ITI,ITI,4.0,1.0,Global on,Global off,-4.0,-0.03330206378986867,-2.0,-0.08333333333333333,0.03330206378986867
20,10,3.0,1.0,Safety-like,Global off,1.0,205.0,0.004878048780487805,1.0,0.041666666666666664,ITI,CS+,3.0,1.0,Safety-like,Global off,10.0,263.0,0.03802281368821293,6.0,0.25,ITI,ITI,3.0,1.0,Safety-like,Global off,-9.0,-0.033144764907725124,-5.0,-0.20833333333333334,0.033144764907725124
3,30,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,Global off,Global on,4.0,121.0,0.03305785123966942,3.0,0.125,ITI,ITI,1.0,4.0,Global off,Global on,-4.0,-0.03305785123966942,-3.0,-0.125,0.03305785123966942
