group,subject,session,task,row_index_0,kept_row,state,basin,sn_file,bn_file
HC,FC001,1,extinction,36,37,10,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,37,38,26,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,38,39,32,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,39,40,30,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,40,41,19,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,41,42,17,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,42,43,2,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,43,44,10,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,44,45,9,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,45,46,27,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,46,47,19,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,47,48,20,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,48,49,31,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,49,50,13,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,50,51,14,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,51,52,4,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,52,53,20,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,53,54,20,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,54,55,1,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,55,56,19,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,56,57,20,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,57,58,32,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,58,59,7,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,59,60,16,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,60,61,14,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,61,62,29,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,62,63,20,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,63,64,19,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,64,65,13,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,65,66,13,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,66,67,6,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
