state,steepest_neighbor,local_minimum_state
1,1,1
2,1,1
3,1,1
4,20,20
5,1,1
6,2,1
7,5,1
8,4,20
9,1,1
10,2,1
11,9,1
12,4,20
13,13,13
14,13,13
15,13,13
16,32,32
17,1,1
18,20,20
19,20,20
20,20,20
21,29,13
22,24,32
23,31,32
24,32,32
25,29,13
26,28,32
27,31,32
28,32,32
29,13,13
30,32,32
31,32,32
32,32,32
