roi_name,Amygdala,Hippocampus,Insula,dACC,vmPFC
Amygdala,0.0,0.3769,-0.0574,0.0864,-0.0105
Hippocampus,0.3769,0.0,0.0906,-0.0182,0.3042
Insula,-0.0574,0.0906,0.0,0.3955,0.0552
dACC,0.0864,-0.0182,0.3955,0.0,0.1134
vmPFC,-0.0105,0.3042,0.0552,0.1134,0.0
