source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
2,1,1.0,1.0,Global off,Global off,41.0,208.0,0.1971153846153846,19.0,0.7916666666666666,ITI,ITI,1.0,1.0,Global off,Global off,28.0,233.0,0.12017167381974249,16.0,0.6666666666666666,ITI,ITI,1.0,1.0,Global off,Global off,13.0,0.07694371079564212,3.0,0.125,0.07694371079564212
7,5,1.0,1.0,Global off,Global off,9.0,51.0,0.17647058823529413,6.0,0.25,CS-,ITI,1.0,1.0,Global off,Global off,7.0,69.0,0.10144927536231885,7.0,0.2916666666666667,CS+,ITI,1.0,1.0,Global off,Global off,2.0,0.07502131287297528,-1.0,-0.041666666666666685,0.07502131287297528
22,14,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,2.0,Global on,Threat-like,3.0,40.0,0.075,3.0,0.125,ITI,ITI,4.0,2.0,Global on,Threat-like,-3.0,-0.075,-3.0,-0.125,0.075
22,8,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,3.0,Global on,Safety-like,3.0,40.0,0.075,3.0,0.125,CS+,CS-,4.0,3.0,Global on,Safety-like,-3.0,-0.075,-3.0,-0.125,0.075
11,25,1.0,1.0,Global off,Global off,3.0,40.0,0.075,3.0,0.125,CS-,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,3.0,0.075,3.0,0.125,0.075
11,28,1.0,4.0,Global off,Global on,3.0,40.0,0.075,3.0,0.125,ITI,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,Global off,Global on,3.0,0.075,3.0,0.125,0.075
11,4,1.0,3.0,Global off,Safety-like,5.0,40.0,0.125,4.0,0.16666666666666666,CS+,CS+,1.0,3.0,Global off,Safety-like,2.0,39.0,0.05128205128205128,2.0,0.08333333333333333,ITI,CS+,1.0,3.0,Global off,Safety-like,3.0,0.07371794871794872,2.0,0.08333333333333333,0.07371794871794872
23,4,4.0,3.0,Global on,Safety-like,6.0,73.0,0.0821917808219178,6.0,0.25,ITI,ITI,4.0,3.0,Global on,Safety-like,1.0,111.0,0.009009009009009009,1.0,0.041666666666666664,CS+,CS+,4.0,3.0,Global on,Safety-like,5.0,0.07318277181290879,5.0,0.20833333333333334,0.07318277181290879
6,32,1.0,4.0,Global off,Global on,3.0,88.0,0.03409090909090909,3.0,0.125,ITI,CS+,1.0,4.0,Global off,Global on,7.0,66.0,0.10606060606060606,7.0,0.2916666666666667,ITI,ITI,1.0,4.0,Global off,Global on,-4.0,-0.07196969696969698,-4.0,-0.16666666666666669,0.07196969696969698
16,12,4.0,3.0,Global on,Safety-like,1.0,182.0,0.005494505494505495,1.0,0.041666666666666664,CS-,ITI,4.0,3.0,Global on,Safety-like,15.0,204.0,0.07352941176470588,7.0,0.2916666666666667,ITI,ITI,4.0,3.0,Global on,Safety-like,-14.0,-0.0680349062702004,-6.0,-0.25,0.0680349062702004
24,32,4.0,4.0,Global on,Global on,34.0,146.0,0.2328767123287671,16.0,0.6666666666666666,ITI,ITI,4.0,4.0,Global on,Global on,24.0,143.0,0.16783216783216784,16.0,0.6666666666666666,ITI,ITI,4.0,4.0,Global on,Global on,10.0,0.06504454449659927,0.0,0.0,0.06504454449659927
29,21,2.0,1.0,Threat-like,Global off,3.0,172.0,0.01744186046511628,2.0,0.08333333333333333,ITI,ITI,2.0,1.0,Threat-like,Global off,17.0,207.0,0.0821256038647343,8.0,0.3333333333333333,ITI,ITI,2.0,1.0,Threat-like,Global off,-14.0,-0.06468374339961802,-6.0,-0.25,0.06468374339961802
4,1,3.0,1.0,Safety-like,Global off,28.0,195.0,0.14358974358974358,15.0,0.625,ITI,ITI,3.0,1.0,Safety-like,Global off,16.0,202.0,0.07920792079207921,12.0,0.5,ITI,ITI,3.0,1.0,Safety-like,Global off,12.0,0.06438182279766437,3.0,0.125,0.06438182279766437
17,1,1.0,1.0,Global off,Global off,22.0,173.0,0.12716763005780346,16.0,0.6666666666666666,ITI,ITI,1.0,1.0,Global off,Global off,13.0,206.0,0.06310679611650485,8.0,0.3333333333333333,ITI,ITI,1.0,1.0,Global off,Global off,9.0,0.0640608339412986,8.0,0.3333333333333333,0.0640608339412986
30,20,4.0,3.0,Global on,Safety-like,2.0,95.0,0.021052631578947368,2.0,0.08333333333333333,CS+,CS+,4.0,3.0,Global on,Safety-like,9.0,106.0,0.08490566037735849,8.0,0.3333333333333333,ITI,ITI,4.0,3.0,Global on,Safety-like,-7.0,-0.06385302879841112,-6.0,-0.25,0.06385302879841112
10,2,1.0,1.0,Global off,Global off,9.0,64.0,0.140625,8.0,0.3333333333333333,ITI,ITI,1.0,1.0,Global off,Global off,10.0,130.0,0.07692307692307693,6.0,0.25,ITI,ITI,1.0,1.0,Global off,Global off,-1.0,0.06370192307692307,2.0,0.08333333333333331,0.06370192307692307
10,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,8.0,130.0,0.06153846153846154,4.0,0.16666666666666666,CS-,ITI,1.0,1.0,Global off,Global off,-8.0,-0.06153846153846154,-4.0,-0.16666666666666666,0.06153846153846154
10,12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,3.0,Global off,Safety-like,8.0,130.0,0.06153846153846154,8.0,0.3333333333333333,ITI,CS-,1.0,3.0,Global off,Safety-like,-8.0,-0.06153846153846154,-8.0,-0.3333333333333333,0.06153846153846154
10,20,1.0,3.0,Global off,Safety-like,1.0,64.0,0.015625,1.0,0.041666666666666664,CS+,CS+,1.0,3.0,Global off,Safety-like,10.0,130.0,0.07692307692307693,8.0,0.3333333333333333,CS+,ITI,1.0,3.0,Global off,Safety-like,-9.0,-0.06129807692307693,-7.0,-0.29166666666666663,0.06129807692307693
6,2,1.0,1.0,Global off,Global off,4.0,88.0,0.045454545454545456,3.0,0.125,CS+,ITI,1.0,1.0,Global off,Global off,7.0,66.0,0.10606060606060606,5.0,0.20833333333333334,ITI,ITI,1.0,1.0,Global off,Global off,-3.0,-0.06060606060606061,-2.0,-0.08333333333333334,0.06060606060606061
7,16,1.0,4.0,Global off,Global on,6.0,51.0,0.11764705882352941,3.0,0.125,ITI,ITI,1.0,4.0,Global off,Global on,4.0,69.0,0.057971014492753624,4.0,0.16666666666666666,ITI,CS-,1.0,4.0,Global off,Global on,2.0,0.059676044330775786,-1.0,-0.04166666666666666,0.059676044330775786
23,8,4.0,3.0,Global on,Safety-like,5.0,73.0,0.0684931506849315,5.0,0.20833333333333334,ITI,CS+,4.0,3.0,Global on,Safety-like,1.0,111.0,0.009009009009009009,1.0,0.041666666666666664,CS-,CS-,4.0,3.0,Global on,Safety-like,4.0,0.059484141675922496,4.0,0.16666666666666669,0.059484141675922496
25,31,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,Global off,Global on,6.0,101.0,0.0594059405940594,6.0,0.25,ITI,ITI,1.0,4.0,Global off,Global on,-6.0,-0.0594059405940594,-6.0,-0.25,0.0594059405940594
