cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
HC,3,19,8,1,3,ITI,ITI,105,0.0761904761904762,8,24,0.3333333333333333,Global off,Safety-like
HC,1,2,29,1,1,ITI,ITI,385,0.07532467532467532,15,24,0.625,Global off,Global off
HC,1,32,29,1,4,ITI,ITI,385,0.07532467532467532,13,24,0.5416666666666666,Global off,Global on
HC,21,1,10,1,1,CS+,ITI,135,0.07407407407407407,7,24,0.2916666666666667,Global off,Global off
HC,32,16,29,4,4,ITI,CS-,393,0.0737913486005089,15,24,0.625,Global on,Global on
HC,31,29,17,4,2,ITI,ITI,232,0.07327586206896551,10,24,0.4166666666666667,Global on,Threat-like
PTSD,24,32,34,4,4,ITI,ITI,146,0.2328767123287671,16,24,0.6666666666666666,Global on,Global on
PTSD,3,1,22,1,1,ITI,ITI,99,0.2222222222222222,14,24,0.5833333333333334,Global off,Global off
PTSD,30,32,20,4,4,ITI,ITI,95,0.21052631578947367,13,24,0.5416666666666666,Global on,Global on
PTSD,10,1,13,1,1,CS-,ITI,64,0.203125,8,24,0.3333333333333333,Global off,Global off
PTSD,2,1,41,1,1,ITI,ITI,208,0.1971153846153846,19,24,0.7916666666666666,Global off,Global off
PTSD,9,1,26,1,1,ITI,ITI,147,0.17687074829931973,16,24,0.6666666666666666,Global off,Global off
PTSD,7,5,9,1,1,CS-,ITI,51,0.17647058823529413,6,24,0.25,Global off,Global off
PTSD,31,32,36,4,4,ITI,ITI,206,0.17475728155339806,18,24,0.75,Global on,Global on
PTSD,14,13,24,2,2,ITI,ITI,138,0.17391304347826086,13,24,0.5416666666666666,Threat-like,Threat-like
PTSD,22,31,5,4,4,ITI,ITI,29,0.1724137931034483,4,24,0.16666666666666666,Global on,Global on
PTSD,26,32,10,4,4,ITI,CS+,59,0.1694915254237288,8,24,0.3333333333333333,Global on,Global on
PTSD,18,20,13,3,3,ITI,ITI,77,0.16883116883116883,7,24,0.2916666666666667,Safety-like,Safety-like
PTSD,29,32,26,2,4,ITI,ITI,172,0.1511627906976744,12,24,0.5,Threat-like,Global on
PTSD,27,32,13,4,4,ITI,ITI,90,0.14444444444444443,9,24,0.375,Global on,Global on
PTSD,4,1,28,3,1,ITI,ITI,195,0.14358974358974358,15,24,0.625,Safety-like,Global off
PTSD,19,32,17,3,4,ITI,ITI,120,0.14166666666666666,12,24,0.5,Safety-like,Global on
PTSD,10,2,9,1,1,ITI,ITI,64,0.140625,8,24,0.3333333333333333,Global off,Global off
PTSD,24,20,20,4,3,ITI,ITI,146,0.136986301369863,13,24,0.5416666666666666,Global on,Safety-like
PTSD,28,20,23,4,3,ITI,ITI,171,0.13450292397660818,14,24,0.5833333333333334,Global on,Safety-like
PTSD,25,32,16,1,4,ITI,ITI,122,0.13114754098360656,10,24,0.4166666666666667,Global off,Global on
PTSD,28,32,22,4,4,ITI,ITI,171,0.1286549707602339,16,24,0.6666666666666666,Global on,Global on
PTSD,17,1,22,1,1,ITI,ITI,173,0.12716763005780346,16,24,0.6666666666666666,Global off,Global off
PTSD,30,13,12,4,2,ITI,CS+,95,0.12631578947368421,9,24,0.375,Global on,Threat-like
PTSD,11,1,5,1,1,CS+,ITI,40,0.125,4,24,0.16666666666666666,Global off,Global off
PTSD,11,4,5,1,3,CS+,CS+,40,0.125,4,24,0.16666666666666666,Global off,Safety-like
PTSD,21,1,11,1,1,ITI,ITI,89,0.12359550561797752,7,24,0.2916666666666667,Global off,Global off
PTSD,5,1,22,1,1,ITI,ITI,184,0.11956521739130435,14,24,0.5833333333333334,Global off,Global off
PTSD,20,32,28,3,4,ITI,ITI,238,0.11764705882352941,16,24,0.6666666666666666,Safety-like,Global on
PTSD,23,31,8,4,4,ITI,ITI,73,0.1095890410958904,7,24,0.2916666666666667,Global on,Global on
PTSD,19,20,13,3,3,ITI,ITI,120,0.10833333333333334,12,24,0.5,Safety-like,Safety-like
PTSD,8,32,10,3,4,ITI,ITI,93,0.10752688172043011,8,24,0.3333333333333333,Safety-like,Global on
