state,basin,basin_label_readable,is_local_minimum,cs_delta_PTSD,cs_delta_HC,PTSD_minus_HC_cs_delta,occupancy_prop_PTSD,occupancy_prop_HC,PTSD_minus_HC_occupancy_prop,occupancy_PTSD,occupancy_HC,PTSD_minus_HC_occupancy,enriched_event_PTSD,enriched_event_HC,binary,binary_01,sigma_pattern,PTSD_minus_HC_prop_CSplus,PTSD_minus_HC_prop_CSminus,PTSD_minus_HC_prop_ITI,PTSD_minus_HC_max_enrichment,abs_cs_delta_difference
11,1,Global off,False,0.19512195121951217,-0.02380952380952378,0.21893147502903595,0.007901329735979958,0.007395668251452721,0.000505661484527237,41,42,-1,CS+,CS-,1010,1010,-+-+-,0.10394889663182344,-0.11498257839721251,0.011033681765389103,0.08180013874759079,0.21893147502903595
30,4,Global on,False,-0.019047619047619035,0.18518518518518517,-0.2042328042328042,0.02023511273848526,0.01901743264659271,0.0012176800918925479,105,108,-3,CS-,CS+,10111,10111,+-+++,-0.001058201058201036,0.20317460317460317,-0.20211640211640208,0.021839551205310004,0.2042328042328042
7,1,Global off,False,-0.15384615384615383,0.0273972602739726,-0.18124341412012643,0.010021198689535556,0.01285437577038211,-0.0028331770808465544,52,73,-21,CS-,CS+,1100,1100,-++--,-0.07613277133825078,0.10511064278187565,-0.028977871443624847,0.08156351572379505,0.18124341412012643
22,4,Global on,False,0.0,-0.15000000000000002,0.15000000000000002,0.005588745423010214,0.007043493572812115,-0.0014547481498019014,29,40,-11,ITI,ITI,10101,10101,+-+-+,0.08793103448275862,-0.06206896551724139,-0.025862068965517238,-0.031372968106700316,0.15000000000000002
15,2,Threat-like,False,0.10344827586206898,-0.03252032520325204,0.13596860106532102,0.016766236269030642,0.021658742736397254,-0.004892506467366612,87,123,-36,CS+,CS-,1110,1110,-+++-,0.05831230726100367,-0.07765629380431735,0.019343986543313707,0.027452747983042758,0.13596860106532102
12,3,Safety-like,False,0.14492753623188404,0.01481481481481478,0.13011272141706925,0.013297359799576027,0.02377179080824089,-0.010474431008664862,69,135,-66,CS+,CS+,11010,11010,++-+-,0.06698872785829307,-0.06312399355877618,-0.0038647342995168366,0.07199515323066996,0.13011272141706925
3,1,Global off,False,0.0792079207920792,-0.045871559633027525,0.12507948042510672,0.019464251300828676,0.019193519985913014,0.00027073131491566274,101,109,-8,ITI,ITI,1000,1000,-+---,0.04278317740030882,-0.0822963030247979,0.039513125624489054,0.034002226483305975,0.12507948042510672
8,3,Safety-like,False,0.11111111111111113,-0.008928571428571452,0.12003968253968259,0.019078820582000385,0.019721782003873922,-0.000642961421873537,99,112,-13,CS+,CS-,11100,11100,+++--,0.07323232323232326,-0.046807359307359325,-0.026424963924963907,0.06596451772904294,0.12003968253968259
18,3,Safety-like,False,-0.04878048780487805,0.06666666666666668,-0.11544715447154473,0.015802659471959916,0.021130480718436345,-0.0053278212464764295,82,120,-38,ITI,ITI,10001,10001,+---+,-0.0902439024390244,0.02520325203252033,0.06504065040650409,0.05952975126532101,0.11544715447154473
4,3,Safety-like,False,-0.026431718061673992,0.06250000000000003,-0.08893171806167402,0.04374638658701099,0.039443564007747844,0.004302822579263142,227,224,3,ITI,CS+,11000,11000,++---,-0.08271711768407805,0.006214600377595969,0.07650251730648217,-0.015894906122176145,0.08893171806167402
9,1,Global off,False,-0.018292682926829257,0.05921052631578946,-0.07750320924261872,0.03160531894391983,0.026765275576686037,0.004840043367233794,164,152,12,ITI,CS+,10,10,---+-,-0.10462130937098843,-0.02711810012836971,0.13173940949935814,0.023364542461677407,0.07750320924261872
28,4,Global on,False,-0.06153846153846154,0.00975609756097559,-0.07129455909943713,0.037579495085758335,0.036097904560662086,0.0014815905250962491,195,205,-10,ITI,ITI,11011,11011,++-++,-0.0456535334584115,0.025641025641025633,0.02001250781738595,0.01450160867620287,0.07129455909943713
25,1,Global off,False,0.03968253968253968,-0.028301886792452824,0.0679844264749925,0.02428213528618231,0.018665257967952105,0.005616877318230205,126,106,20,ITI,ITI,11,11,---++,0.05196166516921233,-0.016022761305780175,-0.035938903863432126,-0.041449803004615204,0.0679844264749925
1,1,Global off,True,-0.03759398496240601,0.03036437246963561,-0.06795835743204162,0.10252457120832531,0.08698714562422961,0.015537425584095696,532,494,38,ITI,ITI,0,0,-----,-0.025303643724696345,0.042654713707345276,-0.017351069982648903,-0.022861969123831982,0.06795835743204162
13,2,Threat-like,True,0.027874564459930307,-0.03858520900321544,0.06645977346314574,0.0553093081518597,0.05476316252861419,0.0005461456232455086,287,311,-24,CS+,CS-,110,110,--++-,0.02954390131866408,-0.036915872144481665,0.007371970825817642,-0.0073805417592602285,0.06645977346314574
19,3,Safety-like,False,0.03225806451612903,0.08720930232558141,-0.05495123780945238,0.02389670456735402,0.030287022363092095,-0.006390317795738076,124,172,-48,ITI,ITI,1001,1001,-+--+,0.01462865716429107,0.06957989497374345,-0.08420855213803458,-0.08971945127921765,0.05495123780945238
26,4,Global on,False,0.050847457627118633,0.0,0.050847457627118633,0.011370206205434573,0.011445677055819687,-7.547085038511411e-05,59,65,-6,ITI,ITI,10011,10011,+--++,-0.01512385919165582,-0.06597131681877445,0.08109517601043026,0.07558427686924718,0.050847457627118633
5,1,Global off,False,0.02392344497607657,-0.02538071065989847,0.04930415563597504,0.04027751011755637,0.03468920584609966,0.005588304271456707,209,197,12,CS+,ITI,100,100,--+--,0.0466325018823015,-0.0026716537536735363,-0.043960848128627994,0.013072224566083923,0.04930415563597504
2,1,Global off,False,-0.017391304347826098,-0.06513409961685823,0.047742795269032134,0.04432453266525342,0.04595879556259905,-0.0016342628973456258,230,261,-31,CS-,ITI,10000,10000,+----,0.0521239380309845,0.004381142761952367,-0.05650508079293681,-0.00614109409702307,0.047742795269032134
10,1,Global off,False,-0.06060606060606061,-0.014925373134328346,-0.04568068747173226,0.01271921372133359,0.023595703468920586,-0.010876489747586995,66,134,-68,CS-,CS-,10010,10010,+--+-,-0.03437358661239259,0.01130710085933967,0.023066485753052923,0.011811574628145916,0.04568068747173226
29,2,Threat-like,False,0.036649214659685875,-0.00888888888888889,0.045538103548574765,0.03680863364810175,0.039619651347068144,-0.0028110176989663907,191,225,-34,CS+,CS-,111,111,--+++,0.023059918557300774,-0.02247818499127399,-0.0005817335660267542,0.015831795593703013,0.045538103548574765
20,3,Safety-like,True,-0.023489932885906062,0.012618296529968459,-0.03610822941587452,0.0574291771054153,0.05581968656453601,0.0016094905408792909,298,317,-19,ITI,ITI,11001,11001,++--+,-0.004170812779201005,0.031937416636673516,-0.027766603857472427,-0.033277502998655506,0.03610822941587452
27,4,Global on,False,0.020618556701030938,0.05063291139240508,-0.030014354691374145,0.018693389863172094,0.013910899806303927,0.004782490056868167,97,79,18,ITI,ITI,1011,1011,-+-++,-0.004306407412240643,0.025707947279133503,-0.02140153986689286,-0.02691243900807594,0.030014354691374145
23,4,Global on,False,0.012658227848101278,-0.008130081300813025,0.020788309148914302,0.015224513393717479,0.021658742736397254,-0.006434229342679775,79,123,-44,ITI,ITI,1101,1101,-++-+,0.02727179170525884,0.006483482556344539,-0.033755274261603296,-0.039266173402786375,0.020788309148914302
14,2,Threat-like,False,0.006896551724137945,0.027472527472527486,-0.02057597574838954,0.02794372711505107,0.032047895756295124,-0.004104168641244053,145,182,-37,CS+,CS+,10110,10110,+-++-,-0.05251989389920425,-0.03194391815081471,0.08446381205001896,-0.04751346852682736,0.02057597574838954
24,4,Global on,False,0.012269938650306761,0.0326797385620915,-0.020409799911784737,0.031412603584505684,0.02694136291600634,0.004471240668499344,163,153,10,ITI,ITI,11101,11101,+++-+,0.007177513132042207,0.027587313043826944,-0.03476482617586907,-0.04027572531705215,0.020409799911784737
17,1,Global off,False,-0.01052631578947369,0.008620689655172403,-0.019147005444646092,0.036615918288687606,0.04085226272231027,-0.004236344433622662,190,232,-42,ITI,ITI,1,1,----+,-0.002041742286751358,0.017105263157894735,-0.015063520871143377,-0.020574420012326455,0.019147005444646092
21,1,Global off,False,-0.07446808510638298,-0.09271523178807947,0.018247146681696497,0.01811524378492966,0.026589188237365734,-0.008473944452436075,94,151,-57,ITI,ITI,101,101,--+-+,-0.028674087642665907,-0.046921234324362404,0.07559532196702834,0.07008442282584526,0.018247146681696497
32,4,Global on,True,-0.0056710775047258966,-0.023012552301255235,0.017341474796529338,0.10194642513008287,0.08416974819510477,0.0177766769349781,529,478,51,CS-,CS-,11111,11111,+++++,-0.00915519136920534,-0.026496666165734678,0.035651857534940046,-0.025992192396928432,0.017341474796529338
31,4,Global on,False,-0.004405286343612341,0.007751937984496138,-0.012157224328108479,0.04374638658701099,0.04543053354463814,-0.0016841469576271556,227,258,-31,CS-,CS+,1111,1111,-++++,-0.02938565037735205,-0.017228426049243573,0.04661407642659565,-0.021130230817847706,0.012157224328108479
