cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
merged,18,8,5,3,3,CS+,ITI,189,0.026455026455026454,4,48,0.08333333333333333,Safety-like,Safety-like
merged,18,23,5,3,4,CS+,ITI,189,0.026455026455026454,5,48,0.10416666666666667,Safety-like,Global on
merged,18,24,5,3,4,CS+,ITI,189,0.026455026455026454,5,48,0.10416666666666667,Safety-like,Global on
merged,18,28,5,3,4,ITI,ITI,189,0.026455026455026454,5,48,0.10416666666666667,Safety-like,Global on
merged,18,29,5,3,2,ITI,CS+,189,0.026455026455026454,5,48,0.10416666666666667,Safety-like,Threat-like
merged,17,13,10,1,2,ITI,ITI,379,0.026385224274406333,6,48,0.125,Global off,Threat-like
merged,29,4,10,2,3,ITI,ITI,379,0.026385224274406333,8,48,0.16666666666666666,Threat-like,Safety-like
merged,20,29,13,3,2,ITI,ITI,494,0.02631578947368421,10,48,0.20833333333333334,Safety-like,Threat-like
merged,6,9,4,1,1,ITI,ITI,154,0.025974025974025976,4,48,0.08333333333333333,Global off,Global off
merged,6,15,4,1,2,ITI,CS+,154,0.025974025974025976,3,48,0.0625,Global off,Threat-like
merged,6,17,4,1,1,CS+,CS+,154,0.025974025974025976,4,48,0.08333333333333333,Global off,Global off
merged,6,25,4,1,1,ITI,ITI,154,0.025974025974025976,2,48,0.041666666666666664,Global off,Global off
merged,6,29,4,1,2,CS-,CS-,154,0.025974025974025976,4,48,0.08333333333333333,Global off,Threat-like
merged,28,10,9,4,1,CS-,CS-,347,0.025936599423631124,8,48,0.16666666666666666,Global on,Global off
merged,28,12,9,4,3,ITI,ITI,347,0.025936599423631124,7,48,0.14583333333333334,Global on,Safety-like
