source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
18,24,3.0,4.0,Safety-like,Global on,3.0,42.0,0.07142857142857142,3.0,0.125,ITI,ITI,3.0,4.0,Safety-like,Global on,1.0,47.0,0.02127659574468085,1.0,0.041666666666666664,ITI,ITI,3.0,4.0,Safety-like,Global on,2.0,0.05015197568389057,2.0,0.08333333333333334,0.05015197568389057
9,12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,3.0,Global off,Safety-like,3.0,60.0,0.05,2.0,0.08333333333333333,CS+,ITI,1.0,3.0,Global off,Safety-like,-3.0,-0.05,-2.0,-0.08333333333333333,0.05
21,13,2.0,2.0,Threat-like,Threat-like,3.0,41.0,0.07317073170731707,3.0,0.125,ITI,CS+,2.0,2.0,Threat-like,Threat-like,1.0,43.0,0.023255813953488372,1.0,0.041666666666666664,ITI,CS-,2.0,2.0,Threat-like,Threat-like,2.0,0.0499149177538287,2.0,0.08333333333333334,0.0499149177538287
7,32,1.0,4.0,Global off,Global on,4.0,43.0,0.09302325581395349,4.0,0.16666666666666666,CS+,ITI,1.0,4.0,Global off,Global on,5.0,35.0,0.14285714285714285,4.0,0.16666666666666666,CS+,ITI,1.0,4.0,Global off,Global on,-1.0,-0.04983388704318936,0.0,0.0,0.04983388704318936
12,32,3.0,4.0,Safety-like,Global on,3.0,41.0,0.07317073170731707,3.0,0.125,ITI,ITI,3.0,4.0,Safety-like,Global on,7.0,57.0,0.12280701754385964,5.0,0.20833333333333334,ITI,ITI,3.0,4.0,Safety-like,Global on,-4.0,-0.049636285836542574,-2.0,-0.08333333333333334,0.049636285836542574
19,12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,3.0,Safety-like,Safety-like,4.0,81.0,0.04938271604938271,4.0,0.16666666666666666,ITI,ITI,3.0,3.0,Safety-like,Safety-like,-4.0,-0.04938271604938271,-4.0,-0.16666666666666666,0.04938271604938271
25,1,2.0,1.0,Threat-like,Global off,7.0,50.0,0.14,6.0,0.25,CS+,CS+,2.0,1.0,Threat-like,Global off,4.0,44.0,0.09090909090909091,4.0,0.16666666666666666,CS+,ITI,2.0,1.0,Threat-like,Global off,3.0,0.0490909090909091,2.0,0.08333333333333334,0.0490909090909091
4,32,3.0,4.0,Safety-like,Global on,3.0,95.0,0.031578947368421054,3.0,0.125,ITI,CS+,3.0,4.0,Safety-like,Global on,7.0,87.0,0.08045977011494253,7.0,0.2916666666666667,ITI,ITI,3.0,4.0,Safety-like,Global on,-4.0,-0.048880822746521474,-4.0,-0.16666666666666669,0.048880822746521474
21,7,2.0,1.0,Threat-like,Global off,2.0,41.0,0.04878048780487805,1.0,0.041666666666666664,ITI,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1.0,Threat-like,Global off,2.0,0.04878048780487805,1.0,0.041666666666666664,0.04878048780487805
21,24,2.0,4.0,Threat-like,Global on,2.0,41.0,0.04878048780487805,2.0,0.08333333333333333,CS-,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,4.0,Threat-like,Global on,2.0,0.04878048780487805,2.0,0.08333333333333333,0.04878048780487805
