cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,27,4,Global on,False,31,0.011773642233194076,-0.25806451612903225,0.03225806451612903,0.2903225806451613,0.6774193548387096,ITI,0.09937150067995537,-0.18688359898558005,0.08751209830562465,0.09937150067995537,1011,1011,-+-++
HC,29,2,Threat-like,False,101,0.038359285985567794,-0.12871287128712872,0.1782178217821782,0.3069306930693069,0.5148514851485149,CS-,0.10412021072977026,-0.04092384171953087,0.10412021072977026,-0.0631963690102394,111,111,--+++
HC,4,3,Safety-like,False,96,0.03646031143182681,-0.09375,0.09375,0.1875,0.71875,ITI,0.14070214584124574,-0.12539166350170908,-0.015310482339536663,0.14070214584124574,11000,11000,++---
HC,18,3,Safety-like,False,49,0.0186099506266616,-0.0816326530612245,0.14285714285714285,0.22448979591836735,0.6326530612244898,ITI,0.05460520706573557,-0.07628452064456623,0.021679313578830683,0.05460520706573557,10001,10001,+---+
HC,21,2,Threat-like,False,44,0.016710976072920623,-0.06818181818181818,0.18181818181818182,0.25,0.5681818181818182,CS-,0.04718951766046334,-0.037323481683527254,0.04718951766046334,-0.009866035976936027,101,101,--+-+
HC,7,1,Global off,False,36,0.013672616786935056,-0.05555555555555555,0.16666666666666666,0.2222222222222222,0.6111111111111112,ITI,0.0330632569523569,-0.05247499683504242,0.019411739882685547,0.0330632569523569,1100,1100,-++--
HC,32,4,Global on,True,245,0.09304975313330802,-0.0489795918367347,0.2163265306122449,0.2653061224489796,0.5183673469387755,CS-,0.062495640109442946,-0.002815132889464167,0.062495640109442946,-0.05968050721997875,11111,11111,+++++
HC,17,1,Global off,False,113,0.042916824914546146,-0.035398230088495575,0.12389380530973451,0.1592920353982301,0.7168141592920354,ITI,0.13876630513328114,-0.09524785819197457,-0.04351844694130658,0.13876630513328114,1,1,----+
HC,8,3,Safety-like,False,64,0.024306874287884542,-0.03125,0.25,0.28125,0.46875,CS-,0.07843951766046334,0.030858336498290923,0.07843951766046334,-0.10929785415875426,11100,11100,+++--
HC,20,3,Safety-like,True,163,0.061906570451955946,-0.024539877300613494,0.1411042944785276,0.1656441717791411,0.6932515337423313,ITI,0.11520367958357702,-0.07803736902318148,-0.03716631056039557,0.11520367958357702,11001,11001,++--+
HC,31,4,Global on,False,132,0.05013292821876187,-0.022727272727272735,0.19696969696969696,0.2196969696969697,0.5833333333333334,CS-,0.016886487357433033,-0.022171966532012116,0.016886487357433033,0.005285479174579111,1111,1111,-++++
HC,23,4,Global on,False,47,0.01785036080516521,-0.021276595744680854,0.1702127659574468,0.19148936170212766,0.6382978723404256,ITI,0.060250018181671305,-0.04892889754426227,-0.011321120637409005,0.060250018181671305,1101,1101,-++-+
HC,1,1,Global off,True,246,0.0934295480440562,-0.02032520325203252,0.18699186991869918,0.2073170731707317,0.6056910569105691,ITI,0.027643202751814866,-0.0321497935830099,0.004506590831195034,0.027643202751814866,0,0,-----
HC,24,4,Global on,False,61,0.023167489555639954,-0.016393442622950838,0.21311475409836064,0.22950819672131148,0.5573770491803278,CS-,0.026697714381774817,-0.006026909403348435,0.026697714381774817,-0.020670804978426438,11101,11101,+++-+
HC,19,3,Safety-like,False,92,0.03494113178883403,0.0,0.18478260869565216,0.18478260869565216,0.6304347826086957,ITI,0.05238692844994142,-0.034359054806056916,-0.0180278736438845,0.05238692844994142,1001,1001,-+--+
HC,28,4,Global on,False,87,0.03304215723509305,0.0,0.1839080459770115,0.1839080459770115,0.632183908045977,ITI,0.05413605388722276,-0.035233617524697586,-0.01890243636252517,0.05413605388722276,11011,11011,++-++
HC,30,4,Global on,False,46,0.017470565894417017,0.0,0.2608695652173913,0.2608695652173913,0.4782608695652174,CS-,0.058059082877854634,0.04172790171568222,0.058059082877854634,-0.09978698459353685,10111,10111,+-+++
HC,15,2,Threat-like,False,40,0.015191796429927839,0.0,0.275,0.275,0.45,CS-,0.07218951766046336,0.055858336498290945,0.07218951766046336,-0.12804785415875425,1110,1110,-+++-
HC,25,2,Threat-like,False,50,0.0189897455374098,0.04000000000000001,0.22,0.18,0.6,ITI,0.021952145841245718,0.0008583364982909236,-0.02281048233953667,0.021952145841245718,11,11,---++
HC,16,4,Global on,False,93,0.03532092669958223,0.04301075268817203,0.26881720430107525,0.22580645161290322,0.5053763440860215,CS+,0.049675540799366175,0.049675540799366175,0.022995969273366557,-0.07267151007273276,11110,11110,++++-
PTSD,30,4,Global on,False,63,0.02371987951807229,-0.23809523809523808,0.14285714285714285,0.38095238095238093,0.47619047619047616,CS-,0.17801563396442913,-0.06422117039586919,0.17801563396442913,-0.11379446356855993,10111,10111,+-+++
PTSD,28,4,Global on,False,77,0.028990963855421686,-0.12987012987012986,0.11688311688311688,0.24675324675324675,0.6363636363636364,ITI,0.046378696604600256,-0.09019519636989516,0.04381649976529495,0.046378696604600256,11011,11011,++-++
PTSD,19,3,Safety-like,False,79,0.029743975903614456,-0.1139240506329114,0.0759493670886076,0.189873417721519,0.7341772151898734,ITI,0.14419227543083735,-0.13112894616440446,-0.013063329266432805,0.14419227543083735,1001,1001,-+--+
PTSD,21,2,Threat-like,False,44,0.016566265060240965,-0.11363636363636365,0.18181818181818182,0.29545454545454547,0.5227272727272727,CS-,0.09251779846659366,-0.02526013143483022,0.09251779846659366,-0.06725766703176339,101,101,--+-+
PTSD,23,4,Global on,False,46,0.017319277108433735,-0.10869565217391304,0.06521739130434782,0.17391304347826086,0.7608695652173914,ITI,0.17088462545835525,-0.14186092194866423,-0.02902370350969094,0.17088462545835525,1101,1101,-++-+
PTSD,22,4,Global on,False,11,0.004141566265060241,-0.09090909090909091,0.09090909090909091,0.18181818181818182,0.7272727272727273,ITI,0.1372877875136912,-0.11616922234392113,-0.02111856516976998,0.1372877875136912,10101,10101,+-+-+
PTSD,4,3,Safety-like,False,109,0.04103915662650602,-0.07339449541284404,0.14678899082568808,0.22018348623853212,0.6330275229357798,ITI,0.0430425831767437,-0.06028932242732396,0.017246739250580317,0.0430425831767437,11000,11000,++---
PTSD,31,4,Global on,False,126,0.04743975903614458,-0.07142857142857142,0.16666666666666666,0.23809523809523808,0.5952380952380952,CS-,0.03515849110728628,-0.040411646586345384,0.03515849110728628,0.005253155479059135,1111,1111,-++++
PTSD,17,1,Global off,False,101,0.03802710843373494,-0.06930693069306931,0.1188118811881188,0.18811881188118812,0.693069306930693,ITI,0.10308436717165692,-0.08826643206489324,-0.014817935106763686,0.10308436717165692,1,1,----+
PTSD,7,1,Global off,False,46,0.017319277108433735,-0.06521739130434781,0.15217391304347827,0.21739130434782608,0.6304347826086957,ITI,0.04044984284965958,-0.05490440020953377,0.014454557359874276,0.04044984284965958,1100,1100,-++--
PTSD,16,4,Global on,False,96,0.03614457831325301,-0.020833333333333343,0.21875,0.23958333333333334,0.5416666666666666,CS-,0.03664658634538154,0.011671686746987958,0.03664658634538154,-0.04831827309236947,11110,11110,++++-
PTSD,3,1,Global off,False,50,0.01882530120481928,-0.01999999999999999,0.14,0.16,0.7,ITI,0.11001506024096386,-0.06707831325301203,-0.0429367469879518,0.11001506024096386,1000,1000,-+---
PTSD,32,4,Global on,True,261,0.09826807228915663,0.0,0.2222222222222222,0.2222222222222222,0.5555555555555556,CS-,0.019285475234270405,0.015143908969210168,0.019285475234270405,-0.03442938420348052,11111,11111,+++++
PTSD,15,2,Threat-like,False,32,0.012048192771084338,0.0,0.1875,0.1875,0.625,ITI,0.0350150602409639,-0.019578313253012042,-0.015436746987951805,0.0350150602409639,1110,1110,-+++-
PTSD,20,3,Safety-like,True,151,0.056852409638554216,0.006622516556291397,0.15894039735099338,0.152317880794702,0.6887417218543046,ITI,0.0987567820952685,-0.04813791590201866,-0.05061886619324982,0.0987567820952685,11001,11001,++--+
PTSD,24,4,Global on,False,73,0.027484939759036143,0.0136986301369863,0.2191780821917808,0.2054794520547945,0.5753424657534246,CS+,0.012099768938768768,0.012099768938768768,0.0025427050668427043,-0.014642474005611472,11101,11101,+++-+
PTSD,8,3,Safety-like,False,57,0.021460843373493976,0.017543859649122806,0.12280701754385964,0.10526315789473684,0.7719298245614035,ITI,0.18194488480236737,-0.0842712957091524,-0.09767358909321497,0.18194488480236737,11100,11100,+++--
PTSD,26,4,Global on,False,47,0.017695783132530122,0.021276595744680854,0.1702127659574468,0.14893617021276595,0.6808510638297872,ITI,0.09086612407075112,-0.03686554729556524,-0.054000576775185855,0.09086612407075112,10011,10011,+--++
PTSD,18,3,Safety-like,False,44,0.016566265060240965,0.022727272727272735,0.18181818181818182,0.1590909090909091,0.6590909090909091,ITI,0.06910596933187296,-0.02526013143483022,-0.043845837897042717,0.06910596933187296,10001,10001,+---+
PTSD,12,3,Safety-like,False,43,0.01618975903614458,0.023255813953488358,0.18604651162790697,0.16279069767441862,0.6511627906976745,ITI,0.06117785093863837,-0.021031801625105068,-0.04014604931353319,0.06117785093863837,11010,11010,++-+-
merged,30,4,Global on,False,109,0.020608810739270185,-0.13761467889908258,0.1926605504587156,0.3302752293577982,0.47706422018348627,CS-,0.12740134015378987,-0.020423208285848593,0.12740134015378987,-0.10697813186794125,10111,10111,+-+++
merged,21,2,Threat-like,False,88,0.0166383059179429,-0.09090909090909088,0.18181818181818182,0.2727272727272727,0.5454545454545454,CS-,0.0698533835232644,-0.03126557692638238,0.0698533835232644,-0.0385878065968821,101,101,--+-+
