basin,basin_label,local_minimum_state,basin_size,member_states_json
1,B1,1,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 14, 17, 18, 19, 25, 26, 33, 34, 37, 38, 49, 50]"
2,B2,21,7,"[21, 22, 23, 29, 30, 53, 54]"
3,B3,24,3,"[8, 20, 24]"
4,B4,41,3,"[41, 45, 57]"
5,B5,44,7,"[11, 12, 35, 36, 42, 43, 44]"
6,B6,64,22,"[15, 16, 27, 28, 31, 32, 39, 40, 46, 47, 48, 51, 52, 55, 56, 58, 59, 60, 61, 62, 63, 64]"
